course_code,course_description,University,Country,Faculty,Department
BMED1207,"Fundamentals of chemistry and biology for biomedical engineering: A. Chemistry for Biomedical Engineering This section will provide foundation knowledge of chemistry important for establishing a sound basis for interdisciplinary units of study in biomedical engineering. Aspects of molecular structure and bonding, isomerism, chemical reactivity and water, molar calculations and biochemical thermodynamics are included as necessary for understanding functions of biological molecules in biomedical engineering. B. Biology for Biomedical Engineering This section will focus on basic structures of the biological macromolecules, proteins, nucleic acids, lipids, carbohydrates. For each class of molecule, links will be made to build relevance to biomedical engineering applications through active learning approaches. C. Emerging Technologies in Biomedical Engineering This section of the course will inspire exciting recent progress in molecular biomedical engineering, building on the basics taught in the course and providing a taster of the frontiers in biomedical engineering which will be built upon in later years.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2020,"Engineering training: Knowledge and practical use of hardware and software tools for soldering, wire-wrapping, PCB design and production, virtual instrumentation hard design and production, software programming of LabView, CAD/CAM, prototyping, moulding and metrology.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2206,"Engineering in biology and medicine: This course is an overview of the essential areas in biomedical engineering, including technologies and applications in life sciences and medicine. The course is broadly divided into 4 areas: biomechanics and biomaterial; cell and tissue engineering; biomedical instrumentations and signals, and medical devices and imaging. The global development and other issues, such as safety, ethics, and industry, will also be addressed. The course has a laboratory component to provide the students with hands-on experience in the subject as well as a group project component to explore and understand current grand challenges in biomedical engineering.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2301,"Life sciences I (Biochemistry): This course presents an overview and an understanding of the basic mechanisms underlying life processes. Topics include chemistry of life – pH, water, etc; fundamental bioenergetics; biomolecules and their functions; intermediary metabolism; enzymes and coenzymes; nucleic acids and genetic information.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2302,"Life sciences II (Cell Biology & Physiology): This course aims to provide a basic understand of the structure and function of cells and tissues within our body, including the structures and functions of the cell; the general organisation of epithelium and glands; the different types and functions of the connective tissues; the general organisation of the nervous tissues, muscle and skin tissues, bone marrow and lymphatic tissues. The second part of the course will provide the students with integrated knowledge of human physiology and pathophysiology that is relevant to biomedical engineering in such areas as organization of the body, homeostasis and excitable tissues; the cardiovascular system; the renal system, and some common disorders of the cardiovascular and renal systems.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2500,"Biomedical signals and linear systems: The theory of signals and linear systems is fundamental to all engineering disciplines. This is the first course in signals and linear systems for biomedical engineering students without any pre-requisite knowledge in signal theory or signal processing other than knowledge in fundamental calculus and the use of complex numbers. The course uses simple real-life examples of signals and systems to illustrate how signal theory can be used in biomedical applications. An introduction to MATLAB is included as a tool for basic signal modelling, computational realization of basic signal theory, and analysis of real biomedical signals acquired by students themselves in a lab session. This course aims to help students gain a firm understanding of fundamental signal and linear system concepts and theory using adequate mathematical and computing techniques to tackle simple signal processing problems. It serves as a pre-requisite course for many other courses, including Integrated Projects, Medical Imaging, Biomedical Engineering Laboratory, Statistics and Mathematical Analysis for Biomedical Engineering, Biomedical Instrumentation and Systems, Digital Signal Processing, Control and Instrumentation, Communication Systems, Digital Image Processing, and some elective courses, etc. Specifically, the course covers the following topics: time-domain signal representation, periodic and aperiodic signals; spectral representation of signals, Fourier series and Fourier transform; system responses and linear system modelling; sampling, aliasing and analog-to-digital conversion; convolution and correlation; FIR filters and digital filtering; IIR filters and frequency response of digital filters; continuous-time systems and Fourier transform properties; application examples of biomedical signal analysis and processing. At the end of the course, students should have a clear understanding of the fundamentals of signals and system theory to enable them to perform simple biomedical signal analysis and processing using both analytical methods and computing tools, link the mathematical representation of signals to some very simple real life signals, and vice versa, and appreciate the applications of linear systems theory in solving some simple real life problems. In addition, students should be aware of the complexity of real-life problems and the need to continue investigation in practice after graduation.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2600,"Biomechanics for biomedical engineering: Stress and strain; bending and deflection of beams; structural failure and viscoelasticity; Kinematics of particles, momentum and energy principles; free vibration and kinematics of mechanisms; human gait and motion; bone fracture & fixation.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED2810,"Engineering management and society: The aims are to develop basic understanding of organization and management skills, professional ethics and legal foundation for the engineering discipline. Topics on engineering organization, project management and managerial skills, decision making processes, contingency and crisis management, leadership, corporate culture and philanthropy will be discussed. In order to provide a clear and right insight for engineering students to interact and contribute to the society, topics related to professional conduct, social responsibility, sustainability and safety issues, technology and environment, professional ethics are included. For the legal foundation, topics such as contract, intellectual property, tort, professional negligence and related law issues are discussed.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3010,"Integrated project: This project is broadly centered around the topic of biomedical circuits. Its overall aim is to provide biomedical engineering students with a hands-on opportunity to develop a practical and functional biomedical device, such as an electrocardiogram (ECG) system or pulse oximeter based on simple electronic circuits from scratch and thereby learn more about the technical details of such devices. Upon completing this course, the student should be able to explain to others the practical importance and technical details of electronic circuits used for physiological measurements; (e.g. bio-potentials or blood oxygenation) to develop a standalone medical device package using basic electronic parts such as opamp chips, resistors, and capacitors. Understand how proper design of circuits can play an important role in assisting medical diagnoses accordingly.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3020,Professional training (Internship): This course aims to provide our students with on-the-job training in local or non-local companies or organizations so that they can integrate theory learning with practical applications; understand real-life organizational structure and business operation; learn how to build human relations with seniors and co-workers; and enrich personal resume for becoming engineering professional.,HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3301,"Life sciences III (Physiology): To provide the students with integrated knowledge of human physiology and pathophysiology that is relevant to biomedical engineering in such areas as (1) blood, blood clotting and immune response, (2) breathing and gas transport, (3) generation and transmission of nerve impulses, muscle contraction, bone, (4) the brain and its functions, autonomic system and reflexes, and (5) some disorders of the above.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3500,"Electromagnetics in biomedicine: The aim of this course is to provide students with basic knowledge of electromagnetics and its applications in biomedicine. Fundamental physics and mathematics in electricity and magnetism are introduced and discussed. Vector analysis is included. Topics on electricity include electric field, Gauss’s law, divergence theorem, electric potential, capacitor, dielectrics, Poisson’s and Laplace’s equations, and work and electrostatic energy. Topics on magnetism include magnetic field, Ampere’s circuital law, Stokes theorem, magnetic flux, magnetic materials, and Faraday’s law. Finally, Maxwell equations are introduced. Applications of electromagnetics in biomedicine are emphasized and integrated throughout the course.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3501,"Medical imaging: Medical imaging is an indispensible technology in modern healthcare and biomedical research. It provides in vivo anatomical, physiological and functional information of the human body in normal, developing and pathological states. The rapid development in this field not only leads to better disease diagnosis and more accurate treatment efficacy assessment, but also paves the way for better understanding of living biological systems. This course will focus mainly on the principles of conventional (X-ray and Ultrasound) and modern (Computerized Tomography – CT; Magnetic Resonance Imaging – MRI; Nuclear Imaging and Optical Imaging) imaging techniques applied to biological systems and in medical diagnoses and the interpretations of these images. At the end of the course, students should gain a clear understanding in the physics, working principles and mathematics involved in the various imaging modalities covered. They should also be able to appreciate the interdisciplinary nature of the subject and learn the latest development or advancement in the field of medical imaging.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3504,"Biomedical engineering laboratory: This course aims to provide the opportunity for students to have hands-on experience and develop fundamental experimental skills required in biomedical engineering. The course emphasizes biomedical engineering principles and experimental designs applied in human physiology, from cellular to tissue and organ levels. The course is comprised of four major lab modules: electrophysiology, characterization of cells and tissues, micromechanics of small objects, and biomedical imaging systems. State-of-the-art biomedical designs in these four areas will also be addressed.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3600,Biomaterials science and engineering: Bonds and crystal structure; defects in crystalline solids; diffusion; solidification; phase diagram; strength of materials; plastic deformation; recrystallization; grain growth; fracture of materials; fatigue life and fatigue crack growth; creep; corrosion; structure and properties of polymers; analytical and testing techniques; definitions in biomaterials science and engineering; history of biomaterials; structure and properties of biological materials; materials in biomedical applications.,HKU,Hong Kong,Engineering,Biomedical Engineering
BMED3603,"Statistics and mathematical analysis for biomedical engineering: The ability to understand the fundamentals of biostatistics and to employ appropriate and quantitative statistical methods to analyze data generated from biomedical studies of different designs is a necessary requirement for biomedical engineering students. This is particularly important in their senior years when they are conducting their final year projects with first hand data to analyze. This course introduces the principles, concepts and methodologies of statistical planning and analysis for biomedical studies. Firstly, basic principles including probability, sampling distributions, hypothesis testing, statistical errors and power will be briefly reviewed using examples extracted from biomedical studies. Secondly, commonly used statistical tests, both parametric and non-parametric, including those for comparison studies such as the analysis of variance (ANOVA) and association studies such as regression and correlation, will be introduced. Thirdly, practical data management and statistical analyses for biomedical data will be conducted through learning the statistical software \(R\). Finally, some special topics useful for biomedical studies such as sample size planning, power analysis, sensitivity and specificity of diagnostic and screening tests, will be covered. Mathematical description and computational modeling of physiological systems has been a vastly growing field. The second part of the course thus introduces quantitative, engineering approaches to human physiology. Three major physiologic systems of the human body (nervous, circulatory, and skeletal) will be studied to exemplify the quantitative nature of human physiology. Well-established mathematical models, including the Hodgkin Huxley model, the cable equation, pressure-volume relationship, and the Hill model, will be elucidated. We will familiarize the students with the MATLAB programming language to set up and solve governing (linear system and differential) equations and to analyze the output in response to input variables. We will also provide the students with a Python programming exercise to build a lightweight convolutional neural network to solve the blood flow velocity field. At the end of the course, the students should have fundamental knowledge and natural mathematical/computational capability of investigating biomedical engineering problems beyond the physiological systems studied in this course.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4010,"Final year project: This course is a core course for all final year biomedical engineering students. It requires students to apply the knowledge they acquired throughout their academic studies to solving real-life biomedical engineering problems. Students are provided with an opportunity to pursue their own research interest under the supervision of teachers from both Engineering & Medicine. At the end of the course, students are required to present a dissertation or report on a topic consisting of design, experimental or analytical investigations. They will develop the ability to formulate and solve problems in biomedical engineering.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4500,"Biomedical instrumentation and systems: This course introduces the essential principles of biomedical instrumentation and systems used for both diagnostic and therapeutic purposes from the level of human body, organs, cells, down to the molecular level. Their applications encompass a wide range of areas, ranging from healthcare, clinical applications to basic life science research. Examples include ECG, EEG; blood pressure sensors; DNA microarray; flow cytometry, cardiac pacemakers, defibrillators and laser surgery.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4501,"Biophotonics: This is an introductory course in biophotonics covering: (1) The essential concepts of (i) basic ray optics, (ii) wave optics, e.g. interference and diffraction, and (iii) photon optics, e.g. laser principles. (2) Interaction of light with biological cells/tissues and its significances and implications in optical bioimaging and other optical diagnostic and therapeutic applications. (3) State-of-the-art biophotonic instrumentations and technologies: optical bioimaging and microscopy (optical coherence tomography (OCT), fluorescence microscopy, multiphoton and other nonlinear optical microscopy), lab-on-chip biosenors, laser therapy, optical-fiber-based micro-endoscopy.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4502,"Magnetic resonance imaging: principles, technology and applications: Magnetic Resonance Imaging (MRI); Nuclear Magnetic Resonance (NMR); MRI instrumentation; Pulse sequence; Signal processing and image reconstruction in MRI; Advanced MRI techniques; MRI applications.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4503,"Biomedical ultrasonics: principles and applications: Ultrasound biophysics, scanning modes, data acquisition schemes, transducer basics; applications of ultrasound including imaging, flow analysis, therapy.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4504,"Biomedical signals processing and modeling in biomedical applications: Fundamentals of biomedical signals (physiological origins, characteristics, and acquisition); modelling and analyses of biomedical signals (linear and nonlinear modelling, digital filtering, spectral analysis, time-frequency analysis, multi-variate biomedical signal processing, etc); pattern classification and diagnostic decision; practical and clinical applications of biomedical signals; project development.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4505,"Advanced bioelectronics: Understanding the role of bioelectronics in emerging biotechnology; fundamental study of electrode-electrolyte interface; scalable fabrication techniques; design of low-noise amplifier and electronics; low-impedance cellular and biomolecular measurement; point-of-care devices, wearables, implantable devices, and system design of bioelectronics; finalize with practice designing bioelectronic devices for biomedical diagnostics of specific diseases.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4506,"Quantum technologies in biomedical sciences: 'Quantum Sensing' describes the use of a quantum system, quantum properties or quantum phenomena to perform a measurement of a physical quantity, offering maximum precision at the fundamental limits (e.g., Heisenberg Limit). This emerging technology is showing great promise for molecular detection and imaging. This course not only teaches fundamental physical principles of the-state-of-the-art quantum nanosensors, but also gives hands-on experiences for students to learn the quantum technologies. This course aims to provide students an introduction of a series of selected advanced topics, mainly including the related recent and up-to-date developments in bio-orientated quantum sensing such as nanomagnetism, nanothermometry and etc. Specifically, the course covers the following main topics: (1) Diamond quantum sensors; (2) Experimental apparatus; (3) Nanoscale magnetometry in bio-systems; (4) Nanoscale thermometry in bio-systems; (5) Other emerging applications in bio-systems.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4601,"Biomaterials design and applications: Processing, structures and properties of biomaterials; tissue response to implants; biomaterial degradation; in vitro and in vivo assessment of biomaterials; implant failure; hard tissue repair; soft tissue repair; blood interfacing implants; drug delivery, nanotechnology in medicine; tissue engineering; prosthetic medical device classification; prosthetic medical device evaluation; prosthetic medical device regulation; medical device standards; ethical issues.",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4602,"Molecular and cellular biomechanics: The focus of this course is on the physics of molecular biology and the mechanics of the cell. Topics include: (1) Biopolymer (actin filaments, microtubules, DNA etc.) conformations and dynamics (random walk model of polymers, worm-like chain model, persistence length, entropic driven elasticity); (2) Basic statistical mechanics and thermodynamics of solutions (entropy of mixing, Osmotic pressure); (3) Mechanics of the cell (membrane elasticity, cell shape, cell adhesion); and (4) Introduction to intermolecular interactions (electrostatic force, van der Waals force).",HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4603,Transport phenomena in biological systems: Basic equations of fluid mechanics; fluid flow in the circulation and tissues; transport in porous media; mass transport in biological systems; kinetics; heat conduction; heat convection; heat exchangers.,HKU,Hong Kong,Engineering,Biomedical Engineering
BMED4604,"Cell and tissue engineering: This course firstly introduces the nature on cell and tissue organization, tissue dynamic processes including development, homeostasis and wound healing. Second, it reviews in detail the basic components of engineered tissues including cells, scaffolds and signals. For cells, important cellular-fate processes such as attachment, migration, proliferation, differentiation and apoptosis, and the cell culture technology will be reviewed before focusing on stem cells and their relevance in tissue engineering. For scaffolds, the analogous role of scaffolds and extracellular matrix of native tissues will be compared and the technological advancement in scaffold design and fabrication will be highlighted. On signals, different types of cell-regulating signals including soluble biofactors, insoluble matrix factors and cell-cell interactions and biophysical signals such as topological and mechanical signals will be introduced before an integrative summary on the application of these signals in designing stem cell niche can be made. Apart from employing these signals extrinsically, direct genetic manipulation of cells can also achieve the purpose of modifying cellular functions. The basic understanding and technological achievement of gene transfer and delivery and its applications in tissue engineering will be covered.",HKU,Hong Kong,Engineering,Biomedical Engineering
