,course_code,course_description,University,Country,Faculty,Department,URL
18,COMP25212,"System Architecture: The basic architecture of computer systems has been covered in first year course units which detailed both the instruction set architecture and the micro-architecture (hardware structure) of simple processors. Although these principles underlie the vast majority of modern computers, there is a wide range of both hardware and software techniques which are employed to increase the performance, reliability and flexibility of systems. The aims of this course are to introduce the most important system architecture approaches. To give a wider understanding of how real systems operate and, from that understanding, the ability to optimise their use.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP25212/
19,COMP26020,"Programming Languages & Paradigms: There is a variety of programming languages designed with different features aiming to address different types of problems. The unit is an advanced course for students who have already mastered one programming language. It is trying to consider the broad spectrum of different programming paradigms and how these can be used and translated. To provide advanced coverage of the main programming paradigms used in computing, how they differ, how they can be used and translated.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP26020/
20,COMP26120,"Algorithms and Data Structures: This course unit covers fundamental material in Computer Science concerning algorithms and their correctness and performance. It is a two-semester practical course, with some video and reading resources, considerable practical experience and lab support. The student is expected to seek out material to support work on the course, thus contributing to developing 'algorithmic literacy'. The implementation of algorithms is illustrated in C, Java and Python. To make best use of available learning time by encouraging active learning and by transmitting information in the most effective ways. To make students aware of the importance of algorithmic concerns in real-life Computer Science situations. To emphasise practical concerns, rather than mathematical analysis. To become confident with a range of data structures and algorithms and able to apply them in realistic tasks.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP26120/
21,COMP27112,"Introduction to Visual Computing: Visual Computing brings together two fundamentally important aspects of modern computing: Computer Graphics - concerned with the synthesis of images from computer models - and Image Processing, which deals with analysis and understanding of images by computers. There are now considerable overlaps between these two, traditionally separate, fields of research and their applications. The Visual Computing theme consists of the following course units: • Year 2: Computer Graphics and Image Processing (10 credits) • Year 3: Advanced Computer Graphics (10 credits) • Year 3: Computer Vision (10 credits). The importance of visual interfaces has never been greater. Graphical interfaces have become ubiquitous, from desk-top interaction, to games and three-dimensional virtual environments. In parallel, there has been an explosion in digital image processing and analysis. We take for granted digital photography and video, while our health services rely on digital X-ray systems, CT and MRI scanners for seeing inside our bodies. Meanwhile, the visualization of computer simulations is an essential aspect of product design and testing, genome exploration, drug design, and climate modelling. The demand for computer scientists with advanced knowledge of such areas has never been greater. The theme will enhance your knowledge and understanding, answering such questions as: - How are three-dimensional environments represented in a computer, and how are interactive 3D worlds created? - How are 2D and 3D representations combined ? for example, how can we recover 3D geometry from 2D images? - How are the basic mathematical techniques and algorithms used to build useful applications? - How are images stored, processed and manipulated? - How can computers interpret images captured by cameras and other recording devices?",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP27112/
22,COMP28112,"Distributed Systems: The course unit assumes that students already have a solid understanding of the main principles of computing within a single machine, have a basic understanding of the issues related to machine communication and networking, and have a notion of what distributed computing is. The syllabus will contain topics covering the fundamentals of distributed computing, its application in modern systems and issues to be considered when designing distributed systems. To provide students with the awareness of the impact and benefits of distributed computing in their everyday interaction with modern computer technology, as well as knowledge of the fundamentals of distributed computing, and understanding of essential techniques and methods, to equip students with basic skills to further explore more advanced course units that require knowledge of distributed computing.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP28112/
23,COMP31311,"Giving Meaning to Programs: Programming languages provide abstractions such as 'functions' which are supposed to allow us to reason about the code at a high level---without running it in our heads. However, these abstractions don't necessarily behave in the way their names suggest. In this unit we show that a mathematical theory of program meanings can be developed which encompasses the counter-intuitive behaviour of computations, but preserves our ability to reason abstractly. The machinery required is significant, and delicate at times, and the unit will introduce the fundamental technical tools which help us cope with these complications. The unit is based on the idea that programs can be assigned a formal meaning. This allows one to reason about them rigorously in an abstract manner. Standard technical tools used in this area are also introduced.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP31311/
24,COMP32211,"Implementing System-on-Chip Designs: The module provides an overview of the design and integration of computer systems onto chips. Industrial-grade CAD tools are used to design a logic system, integrate it into a larger system and realise it on a programmable device. These skills are in short supply and in high demand in the industry today. It can also be very satisfying to build a real, visibly working system! The module aims to give an overview of the processes involved in taking a concept onto a product chip. It also illustrates some of the choices available to an implementer. Finally, the practicals are intended to give some experience of the flow, the frustration and the satisfaction of making a working device.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP32211/
25,COMP32412,"The Internet of Things: Architectures and Applications: Augmenting objects, otherwise designed to perform a specific task, with the ability to connect to the Internet has led to a new technological paradigm called the Internet of Things (IoT). This course will introduce the students to this concept where high level tasks such as data analytics and fundamental hardware components, such as sensors and actuators are integrated to produce complex systems aimed at improving quality of life and benefit society. Considering the upcoming IoT revolution, this course unit offers a timely opportunity to familiarise yourself with the fundamental principles and primary issues that define the IoT. We put emphasis on the versatility of components that can be integrated into such systems, as well as the diversity of data types produced by the IoT edge-nodes. Successful development of IoT applications also requires communication between different levels (layers) of IoT architectures with the associated security and privacy issues. Demystify the IoT concept. Offer insight into the IoT components and explain the different principles and the several aspects of designing the IoT architectures. The course will be focused towards the edge of the IoT that is the 'Things' (i.e., the edge devices). Several IoT areas of application will be analysed, such as smart grids, home automation, and industrial IoT to demonstrate the different requirements and constraints in designing practical IoT architectures for these segments. Furthermore, the course will analyse the importance of the security, trust, and privacy issues for IoT and present techniques that address these. The course will also demonstrate the interplay and the role of diverse engineering and computer science fields that compose the IoT ecosystem.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP32412/
26,COMP33312,"Agile Software Pipelines: The approach to software development known as 'agile software engineering' is now well established within the industry as the most reliable and cost-effective in all but a handful of rarely occurring circumstances. Agile approaches emphasise the early and frequent delivery of releasable software artefacts to the client, combined with disciplined but flexible approaches to project progress tracking, to the continuous and active collection of feedback on the success (or otherwise) of the work done so far and to the creation of high-quality code bases that are easy and safe to change. In an agile project, the first usable executable artefacts will be created very early in the project's lifetime and may be in active use while other parts of the required functionality are still in various stages of development. New and changed functionality is delivered incrementally at short intervals throughout the duration of the project, blurring the distinction between the development and the operational project phases. While the human processes used to manage and carry out agile software engineering are highly iterative, the artefacts produced by the processes are increasingly viewed as passing through one or more linear 'pipelines', on their journey to deployment and use in the end-user environment. New models for the delivery of software (such as continuous delivery) depend upon a carefully configured technical pipeline as much as they do upon effective and efficient human design and feedback processes. In this course unit, we will examine how the combination of these iterative human processes and technical development and delivery pipelines is used to create software that provides real value and return on investment for clients and end-users, while also being of sufficiently high quality to allow frequent and sometimes substantial changes throughout the software's lifetime. The unit aims to: Provide you with a working understanding of software pipelines, their use in the development, delivering and operation of software systems, and the iterative and incremental human processes through which they are managed.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP33312/
27,COMP33511,"User Experience: The aim of this course is to give you, the student, the tools, techniques, and the mindset necessary to competently approach your first user testing and user experience job. The course is designed from a practical perspective and will enable you to take a junior role in a user experience department, or usability company, and will provide you with the overall knowledge to communicate with others and make sensible suggestions regarding UX work. The unit is not intended to be a comprehensive treaties of the subject - indeed this could be accomplished in such a short space of time - however, it will provide the basis for the students future study within the domain. The aim of the unit is to give the student: tools, techniques, and the mindset necessary to competently approach their first user testing and user experience job. The unit is designed from a practical perspective and will enable the student to take up a junior role in a user experience department, or usability company, and provide them with the overview knowledge to communicate with others and make sensible suggestions regarding UX work. The unit is not intended to be a comprehensive treaties of the subject - indeed this could not be accomplished in such a short space of time - however, it will provide the basis for the students future study within the domain.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP33511/
28,COMP34111,"AI and Games: The main contents of this module include: 1. What is a game? (Definition of game, pay-off function, representations in normal form, and extensive form.) 2. What is a plan for decision-making in a game context? (Definition of strategy, representations of strategy.) 3. What does it mean to play a game well? (Definition of best-response strategy, equilibrium point, discussion of the validity of these concepts, discussion of alternatives.) 4. Properties of the Nash equilibrium. (How it incentivizes bad outcomes to prevent opponents from taking advantage.) 5. How do we find good game plans? (Complexity of finding equilibrium points, minimax algorithm, alpha-beta pruning, discussion of the components of a typical game playing program via evaluation function and alpha-beta search) 6. How do we learn good game plans? (Introduction to reinforcement learning, learning through 'self-play', TD-learning, Monte Carlo Tree Search.). The aim of the course is to introduce students to the main concepts of non-cooperative game theory and the game solution concept of the Nash equilibrium. Different categories of games and different approaches to effective play in games is developed. During the first six weeks of the course, conceptual and theoretical material is developed. During the final 5 weeks, the students put this material into practice by developing an AI agent which plays a particular game.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34111/
29,COMP34212,"Cognitive Robotics: This unit provides an in-depth understanding of the field of cognitive robotics. This will analyse the selection, use and combination of methods and approaches in robotics, in artificial intelligence and in psychology and neuroscience to design intelligent behaviour and cognitive skills in interactive robots. This unit provides an in-depth understanding of the field of cognitive robotics. This will analyse the selection, use and combination of methods and approaches in robotics, in artificial intelligence and in psychology and neuroscience to design intelligent behaviour and cognitive skills in interactive robots.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34212/
30,COMP34312,"Mathematical Topics in Machine Learning: The unit aims to introduce advanced mathematical concepts and techniques that underpin modern machine learning and to use them to derive and analyse advanced ML methods. Students will be familiar with a range of foundational techniques from mathematical analysis, probability theory and linear algebra, which are relevant for topics in machine learning. Students will have experience of applying the techniques studied in simple examples and models. To introduce mathematical concepts and techniques relevant to ML. To enable students to derive and analyse advanced ML methods.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34312/
31,COMP34612,"Computational Game Theory: Game theory provides a mathematical framework to reason about conflict and cooperation among rational agents. In modern societies where AI agents, robots and humans interact and often have conflicting goals, it is increasingly important to reason about how they make decisions. This course will introduce game-theoretic concepts, decision-making procedures, and the underlying computational aspects. Game theory provides a mathematical framework to reason about conflict and cooperation among rational agents. In modern societies where AI agents, robots and humans interact and often have conflicting goals, it is increasingly important to reason about how they make decisions. This course will introduce game-theoretic concepts, decision-making procedures, and the underlying computational aspects.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34612/
32,COMP34711,"Natural Language Processing: This is a practical course that provides an overview of basic computational techniques for processing written language, in order to extract meaning, answer questions, summarise text and determine the writer's opinions and attitudes. This is a practical course that provides an overview of basic computational techniques for processing written language, in order to extract meaning, answer questions, summarise text and determine the writer's opinions and attitudes.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34711/
33,COMP34812,"Natural Language Understanding: This module aims to give a deeper introduction to the complexities of human language, and how NLP and AI can help us understand and process language in the age of large language models. We will look at how LLMs have changed our expectations for language technology, and how they work. The aims of the module are to explore fundamental concepts in language, meaning and understanding and to explore how language processing systems including large language models are built and what they learn. To study advanced applications of language technology and understand the trade-offs involved in applying language technology to real-world problems.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP34812/
34,COMP35112,"Chip Multiprocessors: The demand for computing power is increasing rapidly, driven by high performance computing, machine learning, and big data applications. The single core processor no longer satisfies the computing demand. The industry has moved towards integrating multiple processing cores on a single chip to continue the performance scaling. This has resulted in a new computing architecture, called chip multiprocessor (CMP) or multi-core processor. This course unit explores how to design and program such systems. The demand for computing power is increasing rapidly, driven by high performance computing, machine learning, and big data applications. The single core processor no longer satisfies the computing demand. The industry has moved towards integrating multiple processing cores on a single chip to continue the performance scaling. This has resulted in a new computing architecture, called chip multiprocessor (CMP) or multi-core processor. This course unit explores how to design and program such systems.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP35112/
35,COMP36111,"Algorithms and Complexity: The unit deals with the design and analysis of efficient algorithms. Fundamental algorithmic problems are studied, as well as general design and analysis techniques. In this course unit the focus will be on the core aspects of each problem, and the study of the techniques used for solving them, as well as on the proof techniques used in demonstrating the correctness of an algorithm, and the analysis techniques used to determine its complexity. The aims of the unit are to teach the fundamental techniques used in designing and analyzing algorithms, to give the student a deeper understanding of the complexity of computational problems, and to introduce the student to modern research directions in algorithms.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP36111/
36,COMP36212,"Graphics & Virtual Environments: This course unit introduces students to the state of the art in computer graphics, modelling, animation, virtual and augmented reality and other current issues in the visualisation of information. Through a mixture of directed reading and guest lectures from speakers in academia and industry, students will gain an understanding of the current research and development directions in the field, and of the main technical, commercial and creative challenges. Through a mixture of directed reading and guest lectures from speakers in academia and industry, students will gain an understanding of the current research and development directions in the field, and of the main technical, commercial and creative challenges.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP36212/
37,COMP37111,"The course explores these concepts from three perspectives: by introducing the notion of finite precision computation and error propagation within a computational process; through exploring techniques for the numerical solution of differential equations; and through the use of optimisation algorithms to maximise the performance of a solution to a given problem. These techniques are then applied to real-world problems, including physical and engineering systems, and machine learning operations within neural networks. The course targets students seeking to gain experience of how numerical computation is employed in industry and research, and who want a deeper understanding of how numerical algorithms and hardware combine when solving problems. It will help develop the skills necessary to work at the hardware-software interface, and in harnessing the power of hardware accelerators and modern computer architectures to develop fast, accurate and precise analysis tools.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP37111/
38,COMP37212,"Computer Vision: Computer Vision is a branch of Artificial Intelligence concerned with endowing machines with the ability to see and understand images and videos as humans do. While deep learning has revolutionised the field, many important concepts and challenges remain. This course will provide a foundation in computer vision by introducing image formation, feature detection, matching, multiple-view geometry, and deep learning for vision. The primary aim is to provide a foundational understanding of core concepts in computer vision. Students will learn about the principles and mathematical foundations underlying computer vision systems. A secondary aim is to expose students to the integration of classical and modern deep learning approaches in computer vision, helping them understand their complementary strengths and weaknesses. The course will enable students to apply this knowledge to design and evaluate computer vision systems for various real-world tasks.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP37212/
39,COMP38311,"Advanced Distributed Systems: This unit covers advanced topics in distributed systems, such as peer-to-peer systems, cloud computing, blockchains, consistency models, fault tolerance, and distributed data management. Students will gain a deeper understanding of the principles and mechanisms that enable the construction of reliable and scalable distributed systems. The unit aims to provide students with an in-depth understanding of the principles, techniques, and trade-offs involved in designing and implementing modern, large-scale, and reliable distributed systems.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP38311/
40,COMP39112,"Quantum Computing: The unit introduces the main concepts and techniques of quantum computing. Quantum computing is an exciting research area where we bring together computer science, mathematics and physics in order to build a new kind of computer - one that exploits the principles of quantum mechanics to perform computations that are beyond the reach of classical computers. The main aim of the course is to introduce quantum computing to students with a strong background in computer science. By the end of the course the students will be able to understand quantum algorithms, the abstract quantum circuit model of quantum computing and also be able to design and implement quantum circuits using existing software packages.",Manchester (University of),United Kingdom,Computer Science,Computer Science,https://www.manchester.ac.uk/study/international/study-abroad-exchange/unit-search/COMP39112/
